code,name,market,catagory,type
688075,安旭生物,A股,沪深A股,股票
300379,东方通,A股,沪深A股,股票
600977,中国电影,A股,沪深A股,股票
600683,京投发展,A股,沪深A股,股票
002244,滨江集团,A股,沪深A股,股票
603916,苏博特,A股,沪深A股,股票
688099,晶晨股份,A股,沪深A股,股票
300853,申昊科技,A股,沪深A股,股票
600173,卧龙地产,A股,沪深A股,股票
000516,国际医学,A股,沪深A股,股票
688253,英诺特,A股,沪深A股,股票
600082,海泰发展,A股,沪深A股,股票
603392,万泰生物,A股,沪深A股,股票
603833,欧派家居,A股,沪深A股,股票
603818,曲美家居,A股,沪深A股,股票
600238,海南椰岛,A股,沪深A股,股票
300937,药易购,A股,沪深A股,股票
300110,华仁药业,A股,沪深A股,股票
001322,箭牌家居,A股,沪深A股,股票
002775,文科园林,A股,沪深A股,股票
603580,艾艾精工,A股,沪深A股,股票
000568,泸州老窖,A股,沪深A股,股票
002739,万达电影,A股,沪深A股,股票
301037,保立佳,A股,沪深A股,股票
601628,中国人寿,A股,沪深A股,股票
002541,鸿路钢构,A股,沪深A股,股票
000683,远兴能源,A股,沪深A股,股票
301267,华厦眼科,A股,沪深A股,股票
300740,水羊股份,A股,沪深A股,股票
300803,指南针,A股,沪深A股,股票
000036,华联控股,A股,沪深A股,股票
000428,华天酒店,A股,沪深A股,股票
000524,岭南控股,A股,沪深A股,股票
300783,三只松鼠,A股,沪深A股,股票
301136,招标股份,A股,沪深A股,股票
300144,宋城演艺,A股,沪深A股,股票
300715,凯伦股份,A股,沪深A股,股票
600823,世茂股份,A股,沪深A股,股票
300977,深圳瑞捷,A股,沪深A股,股票
600736,苏州高新,A股,沪深A股,股票
601588,北辰实业,A股,沪深A股,股票
301078,孩子王,A股,沪深A股,股票
002017,东信和平,A股,沪深A股,股票
002599,盛通股份,A股,沪深A股,股票
600785,新华百货,A股,沪深A股,股票
603816,顾家家居,A股,沪深A股,股票
002432,九安医疗,A股,沪深A股,股票
000513,丽珠集团,A股,沪深A股,股票
601677,明泰铝业,A股,沪深A股,股票
000897,津滨发展,A股,沪深A股,股票
002566,益盛药业,A股,沪深A股,股票
300616,尚品宅配,A股,沪深A股,股票
002188,中天服务,A股,沪深A股,股票
000721,西安饮食,A股,沪深A股,股票
688031,星环科技-U,A股,沪深A股,股票
603060,国检集团,A股,沪深A股,股票
000089,深圳机场,A股,沪深A股,股票
000921,海信家电,A股,沪深A股,股票
603351,威尔药业,A股,沪深A股,股票
300485,赛升药业,A股,沪深A股,股票
300251,光线传媒,A股,沪深A股,股票
300051,三五互联,A股,沪深A股,股票
300059,东方财富,A股,沪深A股,股票
000926,福星股份,A股,沪深A股,股票
001979,招商蛇口,A股,沪深A股,股票
301177,迪阿股份,A股,沪深A股,股票
688091,上海谊众-U,A股,沪深A股,股票
300033,同花顺,A股,沪深A股,股票
688289,XD圣湘生,A股,沪深A股,股票
000667,美好置业,A股,沪深A股,股票
688793,倍轻松,A股,沪深A股,股票
603180,金牌厨柜,A股,沪深A股,股票
300935,盈建科,A股,沪深A股,股票
603160,汇顶科技,A股,沪深A股,股票
300019,硅宝科技,A股,沪深A股,股票
601021,春秋航空,A股,沪深A股,股票
688690,纳微科技,A股,沪深A股,股票
603387,基蛋生物,A股,沪深A股,股票
601166,兴业银行,A股,沪深A股,股票
002990,盛视科技,A股,沪深A股,股票
300962,中金辐照,A股,沪深A股,股票
603103,横店影视,A股,沪深A股,股票
301116,益客食品,A股,沪深A股,股票
000672,上峰水泥,A股,沪深A股,股票
601838,成都银行,A股,沪深A股,股票
601788,光大证券,A股,沪深A股,股票
603099,长白山,A股,沪深A股,股票
000933,神火股份,A股,沪深A股,股票
600906,财达证券,A股,沪深A股,股票
600649,城投控股,A股,沪深A股,股票
688508,芯朋微,A股,沪深A股,股票
605177,东亚药业,A股,沪深A股,股票
603069,海汽集团,A股,沪深A股,股票
000517,荣安地产,A股,沪深A股,股票
600510,黑牡丹,A股,沪深A股,股票
600162,香江控股,A股,沪深A股,股票
002271,东方雨虹,A股,沪深A股,股票
605266,健之佳,A股,沪深A股,股票
601336,新华保险,A股,沪深A股,股票
002607,中公教育,A股,沪深A股,股票
600692,亚通股份,A股,沪深A股,股票
301176,逸豪新材,A股,沪深A股,股票
002508,老板电器,A股,沪深A股,股票
000707,双环科技,A股,沪深A股,股票
600132,重庆啤酒,A股,沪深A股,股票
000923,河钢资源,A股,沪深A股,股票
